County,State,Estimate_Households_Median_income
LaSalle Parish, Louisiana,51141
Lincoln Parish, Louisiana,36496
Livingston Parish, Louisiana,67365
Madison Parish, Louisiana,32585
Morehouse Parish, Louisiana,33780
Natchitoches Parish, Louisiana,30625
Orleans Parish, Louisiana,43258
Ouachita Parish, Louisiana,44934
Plaquemines Parish, Louisiana,65234
Pointe Coupee Parish, Louisiana,44201
Rapides Parish, Louisiana,48013
Red River Parish, Louisiana,33817
Richland Parish, Louisiana,40491
Sabine Parish, Louisiana,39755
St. Bernard Parish, Louisiana,47873
St. Charles Parish, Louisiana,68113
St. Helena Parish, Louisiana,45063
St. James Parish, Louisiana,53209
St. John the Baptist Parish, Louisiana,55429
St. Landry Parish, Louisiana,40859
St. Martin Parish, Louisiana,48884
St. Mary Parish, Louisiana,40218
St. Tammany Parish, Louisiana,70730
Tangipahoa Parish, Louisiana,48745
Tensas Parish, Louisiana,29767
Terrebonne Parish, Louisiana,52224
Union Parish, Louisiana,45094
Vermilion Parish, Louisiana,52219
Vernon Parish, Louisiana,50267
Washington Parish, Louisiana,39185
Webster Parish, Louisiana,30324
West Baton Rouge Parish, Louisiana,67813
West Carroll Parish, Louisiana,42545
West Feliciana Parish, Louisiana,59688
Winn Parish, Louisiana,37764
Androscoggin County, Maine,55002
Aroostook County, Maine,43791
Cumberland County, Maine,76014
Franklin County, Maine,51630
Hancock County, Maine,58345
Kennebec County, Maine,55368
Knox County, Maine,57794
Lincoln County, Maine,58125
Oxford County, Maine,49761
Penobscot County, Maine,52128
Piscataquis County, Maine,42083
Sagadahoc County, Maine,68039
Somerset County, Maine,45382
Waldo County, Maine,58034
Washington County, Maine,44847
York County, Maine,68932
Allegany County, Maryland,49449
Anne Arundel County, Maryland,103225
Baltimore County, Maryland,78724
Calvert County, Maryland,112696
Caroline County, Maryland,59042
Carroll County, Maryland,99569
Cecil County, Maryland,79415
Charles County, Maryland,103678
Dorchester County, Maryland,52799
Frederick County, Maryland,100685
Garrett County, Maryland,54542
Harford County, Maryland,94003
Howard County, Maryland,124042
Kent County, Maryland,60208
Montgomery County, Maryland,111812
Prince George's County, Maryland,86994
Queen Anne's County, Maryland,96467
St. Mary's County, Maryland,95864
Somerset County, Maryland,44980
Talbot County, Maryland,73102
Washington County, Maryland,63510
Wicomico County, Maryland,60366
Worcester County, Maryland,65396
Baltimore city, Maryland,52164
Barnstable County, Massachusetts,76863
Berkshire County, Massachusetts,62166
Bristol County, Massachusetts,71450
Dukes County, Massachusetts,77318
Essex County, Massachusetts,82225
Franklin County, Massachusetts,61198
Hampden County, Massachusetts,57623
Hampshire County, Massachusetts,73518
Middlesex County, Massachusetts,106202
Nantucket County, Massachusetts,112306
Norfolk County, Massachusetts,105320
Plymouth County, Massachusetts,92906
Suffolk County, Massachusetts,74881
Worcester County, Massachusetts,77155
Alcona County, Michigan,43341
Alger County, Michigan,45184
Allegan County, Michigan,65071
Alpena County, Michigan,42603
Antrim County, Michigan,57256
Arenac County, Michigan,45679
Baraga County, Michigan,46581
Barry County, Michigan,65557
Bay County, Michigan,48290
Benzie County, Michigan,64257
Berrien County, Michigan,52500
Branch County, Michigan,52782
Calhoun County, Michigan,50219
Cass County, Michigan,57514
Charlevoix County, Michigan,60433
Cheboygan County, Michigan,49624
Chippewa County, Michigan,50454
Clare County, Michigan,41163
Clinton County, Michigan,72490
Crawford County, Michigan,49987
Delta County, Michigan,47008
Dickinson County, Michigan,51704
Eaton County, Michigan,67440
Emmet County, Michigan,55947
Genesee County, Michigan,50269
Gladwin County, Michigan,45957
Gogebic County, Michigan,38625
Grand Traverse County, Michigan,66457
Gratiot County, Michigan,49795
Hillsdale County, Michigan,51535
Houghton County, Michigan,44839
Huron County, Michigan,49541
Ingham County, Michigan,55253
Ionia County, Michigan,60139
Iosco County, Michigan,42628
Iron County, Michigan,44183
Isabella County, Michigan,46783
Jackson County, Michigan,54511
Kalamazoo County, Michigan,58836
Kalkaska County, Michigan,49402
Kent County, Michigan,65722
Keweenaw County, Michigan,51750
Lake County, Michigan,38356
Lapeer County, Michigan,65197
Leelanau County, Michigan,67330
Lenawee County, Michigan,57314
Livingston County, Michigan,84274
Luce County, Michigan,50000
Mackinac County, Michigan,50058
Macomb County, Michigan,64641
Manistee County, Michigan,51658
Marquette County, Michigan,54585
Mason County, Michigan,51568
Mecosta County, Michigan,45797
Menominee County, Michigan,48548
Midland County, Michigan,64078
Missaukee County, Michigan,47370
Monroe County, Michigan,65453
Montcalm County, Michigan,52390
Montmorency County, Michigan,42160
Muskegon County, Michigan,53478
Newaygo County, Michigan,51470
Oakland County, Michigan,81587
Oceana County, Michigan,51161
Ogemaw County, Michigan,41752
Ontonagon County, Michigan,41776
Osceola County, Michigan,46969
Oscoda County, Michigan,43457
Otsego County, Michigan,55917
Ottawa County, Michigan,72418
Presque Isle County, Michigan,48734
Roscommon County, Michigan,41828
Saginaw County, Michigan,49565
St. Clair County, Michigan,58722
St. Joseph County, Michigan,53253
Sanilac County, Michigan,49852
Schoolcraft County, Michigan,48443
Shiawassee County, Michigan,56436
Tuscola County, Michigan,51891
Van Buren County, Michigan,56652
Washtenaw County, Michigan,75730
Wayne County, Michigan,49359
Wexford County, Michigan,50335
Aitkin County, Minnesota,49086
Anoka County, Minnesota,84379
Becker County, Minnesota,60508
Beltrami County, Minnesota,50525
Benton County, Minnesota,60564
Big Stone County, Minnesota,55909
Blue Earth County, Minnesota,61058
Brown County, Minnesota,59804
Carlton County, Minnesota,66201
Carver County, Minnesota,104011
Cass County, Minnesota,53845
Chippewa County, Minnesota,57301
Chisago County, Minnesota,86900
Clay County, Minnesota,66069
Clearwater County, Minnesota,51742
Cook County, Minnesota,59537
Cottonwood County, Minnesota,51067
Crow Wing County, Minnesota,57779
Dakota County, Minnesota,88468
Dodge County, Minnesota,79020
Douglas County, Minnesota,65430
Faribault County, Minnesota,53963
Fillmore County, Minnesota,64375
Freeborn County, Minnesota,54628
Goodhue County, Minnesota,69334
Grant County, Minnesota,59246
Hennepin County, Minnesota,81169
Houston County, Minnesota,59514
Hubbard County, Minnesota,58475
Isanti County, Minnesota,76999
Itasca County, Minnesota,55744
Jackson County, Minnesota,62479
Kanabec County, Minnesota,57877
Kandiyohi County, Minnesota,64252
Kittson County, Minnesota,55410
Koochiching County, Minnesota,52297
Lac qui Parle County, Minnesota,57802
Lake County, Minnesota,65201
Lake of the Woods County, Minnesota,50669
Le Sueur County, Minnesota,75925
Lincoln County, Minnesota,53557
Lyon County, Minnesota,57274
McLeod County, Minnesota,62885
Mahnomen County, Minnesota,45398
Marshall County, Minnesota,60951
Martin County, Minnesota,53851
Meeker County, Minnesota,63841
Mille Lacs County, Minnesota,57173
Morrison County, Minnesota,58826
Mower County, Minnesota,55378
Murray County, Minnesota,62839
Nicollet County, Minnesota,69174
Nobles County, Minnesota,56000
Norman County, Minnesota,56081
Olmsted County, Minnesota,80403
Otter Tail County, Minnesota,59456
Pennington County, Minnesota,60940
Pine County, Minnesota,55606
Pipestone County, Minnesota,53688
Polk County, Minnesota,58682
Pope County, Minnesota,62878
Ramsey County, Minnesota,67238
Red Lake County, Minnesota,59698
Redwood County, Minnesota,57243
Renville County, Minnesota,58542
Rice County, Minnesota,70600
Rock County, Minnesota,65744
Roseau County, Minnesota,62304
St. Louis County, Minnesota,57480
Scott County, Minnesota,103261
Sherburne County, Minnesota,88671
Sibley County, Minnesota,64170
Stearns County, Minnesota,65244
Steele County, Minnesota,68172
Stevens County, Minnesota,65503
Swift County, Minnesota,53457
Todd County, Minnesota,54502
Traverse County, Minnesota,51216
Wabasha County, Minnesota,67906
Wadena County, Minnesota,46178
Waseca County, Minnesota,60450
Washington County, Minnesota,97584
Watonwan County, Minnesota,53304
Wilkin County, Minnesota,56829
Winona County, Minnesota,60020
Wright County, Minnesota,87772
Yellow Medicine County, Minnesota,59289
Adams County, Mississippi,30633
Alcorn County, Mississippi,40938
Amite County, Mississippi,30805
Attala County, Mississippi,35631
Benton County, Mississippi,39758
Bolivar County, Mississippi,32412
Calhoun County, Mississippi,40345
Carroll County, Mississippi,46729
Chickasaw County, Mississippi,35592
Choctaw County, Mississippi,36648
Claiborne County, Mississippi,32268
Clarke County, Mississippi,38631
Clay County, Mississippi,33209
Coahoma County, Mississippi,30761
Copiah County, Mississippi,44252
Covington County, Mississippi,32917
DeSoto County, Mississippi,69990
Forrest County, Mississippi,42298
Franklin County, Mississippi,39066
George County, Mississippi,47044
Greene County, Mississippi,47033
Grenada County, Mississippi,39952
Hancock County, Mississippi,54860
Harrison County, Mississippi,48547
Hinds County, Mississippi,45380
Holmes County, Mississippi,24074
Humphreys County, Mississippi,28628
Issaquena County, Mississippi,28333
Itawamba County, Mississippi,47649
Jackson County, Mississippi,53726
Jasper County, Mississippi,37877
Jefferson County, Mississippi,29524
Jefferson Davis County, Mississippi,32214
Jones County, Mississippi,43391
Kemper County, Mississippi,30735
Lafayette County, Mississippi,53318
Lamar County, Mississippi,61649
Lauderdale County, Mississippi,42922
Lawrence County, Mississippi,36239
Leake County, Mississippi,36708
Lee County, Mississippi,55861
Leflore County, Mississippi,30077
Lincoln County, Mississippi,41355
Lowndes County, Mississippi,48170
Madison County, Mississippi,71621
Marion County, Mississippi,31629
Marshall County, Mississippi,43411
Monroe County, Mississippi,45018
Montgomery County, Mississippi,38022
Neshoba County, Mississippi,40750
Newton County, Mississippi,42176
Noxubee County, Mississippi,36958
Oktibbeha County, Mississippi,39490
Panola County, Mississippi,37232
Pearl River County, Mississippi,51538
Perry County, Mississippi,47173
Pike County, Mississippi,32726
Pontotoc County, Mississippi,48980
Prentiss County, Mississippi,40163
Quitman County, Mississippi,24233
Rankin County, Mississippi,68310
Scott County, Mississippi,39971
Sharkey County, Mississippi,35711
Simpson County, Mississippi,43403
Smith County, Mississippi,44714
Stone County, Mississippi,47683
Sunflower County, Mississippi,31515
Tallahatchie County, Mississippi,30433
Tate County, Mississippi,55738
Tippah County, Mississippi,37894
Tishomingo County, Mississippi,38302
Tunica County, Mississippi,34485
Union County, Mississippi,47317
Walthall County, Mississippi,33566
Warren County, Mississippi,46909
Washington County, Mississippi,32011
Wayne County, Mississippi,33612
Webster County, Mississippi,52382
Wilkinson County, Mississippi,30760
Winston County, Mississippi,38986
Yalobusha County, Mississippi,41440
Yazoo County, Mississippi,32729
Adair County, Missouri,42301
Andrew County, Missouri,58911
Atchison County, Missouri,51625
Audrain County, Missouri,44699
Barry County, Missouri,45811
Barton County, Missouri,44510
Bates County, Missouri,46733
Benton County, Missouri,41751
Bollinger County, Missouri,45140
Boone County, Missouri,58740
Buchanan County, Missouri,51933
Butler County, Missouri,42227
Caldwell County, Missouri,51451
Callaway County, Missouri,59835
Camden County, Missouri,53520
Cape Girardeau County, Missouri,53776
Carroll County, Missouri,51414
Carter County, Missouri,42403
Cass County, Missouri,72522
Cedar County, Missouri,39408
Chariton County, Missouri,51545
Christian County, Missouri,64442
Clark County, Missouri,45842
Clay County, Missouri,72047
Clinton County, Missouri,62213
Cole County, Missouri,61184
Cooper County, Missouri,53003
Crawford County, Missouri,44380
Dade County, Missouri,42117
Dallas County, Missouri,40404
Daviess County, Missouri,52143
DeKalb County, Missouri,58433
Dent County, Missouri,42714
Douglas County, Missouri,43714
Dunklin County, Missouri,38020
Franklin County, Missouri,60129
Gasconade County, Missouri,56380
Gentry County, Missouri,46774
Greene County, Missouri,47053
Grundy County, Missouri,46885
Harrison County, Missouri,40615
Henry County, Missouri,47500
Hickory County, Missouri,33342
Holt County, Missouri,46442
Howard County, Missouri,55000
Howell County, Missouri,39482
Iron County, Missouri,40082
Jackson County, Missouri,56960
Jasper County, Missouri,49155
Jefferson County, Missouri,67606
Johnson County, Missouri,56440
Knox County, Missouri,37588
Laclede County, Missouri,46582
Lafayette County, Missouri,62076
Lawrence County, Missouri,44060
Lewis County, Missouri,45118
Lincoln County, Missouri,70424
Linn County, Missouri,51150
Livingston County, Missouri,50818
McDonald County, Missouri,42876
Macon County, Missouri,44696
Madison County, Missouri,47984
Maries County, Missouri,48276
Marion County, Missouri,54277
Mercer County, Missouri,50030
Miller County, Missouri,47964
Mississippi County, Missouri,34354
Moniteau County, Missouri,57012
Monroe County, Missouri,43422
Montgomery County, Missouri,52123
Morgan County, Missouri,41477
New Madrid County, Missouri,40129
Newton County, Missouri,52067
Nodaway County, Missouri,46303
Oregon County, Missouri,32766
Osage County, Missouri,62087
Ozark County, Missouri,33046
Pemiscot County, Missouri,34709
Perry County, Missouri,56861
Pettis County, Missouri,49315
Phelps County, Missouri,44987
Pike County, Missouri,44920
Platte County, Missouri,82448
Polk County, Missouri,47614
Pulaski County, Missouri,58426
Putnam County, Missouri,48833
Ralls County, Missouri,54194
Randolph County, Missouri,50440
Ray County, Missouri,65303
Reynolds County, Missouri,39552
Ripley County, Missouri,36066
St. Charles County, Missouri,87644
St. Clair County, Missouri,39000
Ste. Genevieve County, Missouri,61746
St. Francois County, Missouri,46307
St. Louis County, Missouri,68661
Saline County, Missouri,47585
Schuyler County, Missouri,44420
Scotland County, Missouri,47708
Scott County, Missouri,46310
Shannon County, Missouri,36229
Shelby County, Missouri,43809
Stoddard County, Missouri,42761
Stone County, Missouri,51476
Sullivan County, Missouri,44056
Taney County, Missouri,47860
Texas County, Missouri,35758
Vernon County, Missouri,43910
Warren County, Missouri,64735
Washington County, Missouri,42849
Wayne County, Missouri,38018
Webster County, Missouri,55827
Worth County, Missouri,47500
Wright County, Missouri,36711
St. Louis city, Missouri,45782
Beaverhead County, Montana,45819
Big Horn County, Montana,48273
Blaine County, Montana,45361
Broadwater County, Montana,57723
Carbon County, Montana,61209
Carter County, Montana,42300
Cascade County, Montana,52049
Chouteau County, Montana,45707
Custer County, Montana,54891
Daniels County, Montana,56026
Dawson County, Montana,51681
Deer Lodge County, Montana,42129
Fallon County, Montana,69792
Fergus County, Montana,47618
Flathead County, Montana,57763
Gallatin County, Montana,70124
Garfield County, Montana,43750
Glacier County, Montana,37645
Golden Valley County, Montana,49028
Granite County, Montana,50795
Hill County, Montana,50912
Jefferson County, Montana,71779
Judith Basin County, Montana,50329
Lake County, Montana,52169
Lewis and Clark County, Montana,66062
Liberty County, Montana,46750
Lincoln County, Montana,39820
McCone County, Montana,57045
Madison County, Montana,55892
Meagher County, Montana,46815
Mineral County, Montana,48672
Missoula County, Montana,56247
Musselshell County, Montana,46328
Park County, Montana,53082
Petroleum County, Montana,40000
Phillips County, Montana,46686
Pondera County, Montana,54235
Powder River County, Montana,57755
Powell County, Montana,50332
Prairie County, Montana,42350
Ravalli County, Montana,55090
Richland County, Montana,64158
Roosevelt County, Montana,45458
Rosebud County, Montana,57769
Sanders County, Montana,42284
Sheridan County, Montana,54135
Silver Bow County, Montana,49359
Stillwater County, Montana,67448
Sweet Grass County, Montana,53790
Teton County, Montana,56649
Toole County, Montana,49725
Treasure County, Montana,44671
Valley County, Montana,51087
Wheatland County, Montana,35265
Wibaux County, Montana,50972
Yellowstone County, Montana,62630
Adams County, Nebraska,56007
Antelope County, Nebraska,52569
Arthur County, Nebraska,48500
Banner County, Nebraska,53864
Blaine County, Nebraska,55268
Boone County, Nebraska,60094
Box Butte County, Nebraska,61904
Boyd County, Nebraska,53846
Brown County, Nebraska,41979
Buffalo County, Nebraska,63513
Burt County, Nebraska,51961
Butler County, Nebraska,59232
Cass County, Nebraska,73683
Cedar County, Nebraska,64703
Chase County, Nebraska,56135
Cherry County, Nebraska,55431
Cheyenne County, Nebraska,52270
Clay County, Nebraska,63686
Colfax County, Nebraska,64269
Cuming County, Nebraska,59202
Custer County, Nebraska,53891
Dakota County, Nebraska,61227
Dawes County, Nebraska,49379
Dawson County, Nebraska,56731
Deuel County, Nebraska,48958
Dixon County, Nebraska,57243
Dodge County, Nebraska,58439
Douglas County, Nebraska,66600
Dundy County, Nebraska,49211
Fillmore County, Nebraska,62151
Franklin County, Nebraska,50231
Frontier County, Nebraska,59250
Furnas County, Nebraska,53533
Gage County, Nebraska,51812
Garden County, Nebraska,42076
Garfield County, Nebraska,54659
Gosper County, Nebraska,65086
Grant County, Nebraska,43625
Greeley County, Nebraska,46830
Hall County, Nebraska,58595
Hamilton County, Nebraska,68649
Harlan County, Nebraska,51534
Hayes County, Nebraska,52396
Hitchcock County, Nebraska,46000
Holt County, Nebraska,60214
Hooker County, Nebraska,48654
Howard County, Nebraska,59432
Jefferson County, Nebraska,48981
Johnson County, Nebraska,49382
Kearney County, Nebraska,62899
Keith County, Nebraska,52169
Keya Paha County, Nebraska,55250
Kimball County, Nebraska,48056
Knox County, Nebraska,53653
Lancaster County, Nebraska,62464
Lincoln County, Nebraska,59995
Logan County, Nebraska,45990
Loup County, Nebraska,46111
McPherson County, Nebraska,51932
Madison County, Nebraska,52334
Merrick County, Nebraska,52254
Morrill County, Nebraska,46903
Nance County, Nebraska,53147
Nemaha County, Nebraska,50236
Nuckolls County, Nebraska,52975
Otoe County, Nebraska,64755
Pawnee County, Nebraska,46063
Perkins County, Nebraska,61389
Phelps County, Nebraska,58105
Pierce County, Nebraska,57629
Platte County, Nebraska,60878
Polk County, Nebraska,59837
Red Willow County, Nebraska,48140
Richardson County, Nebraska,44524
Rock County, Nebraska,51458
Saline County, Nebraska,52956
Sarpy County, Nebraska,83051
Saunders County, Nebraska,70414
Scotts Bluff County, Nebraska,53433
Seward County, Nebraska,71111
Sheridan County, Nebraska,45543
Sherman County, Nebraska,53158
Sioux County, Nebraska,47422
Stanton County, Nebraska,64808
Thayer County, Nebraska,53234
Thomas County, Nebraska,59000
Thurston County, Nebraska,55574
Valley County, Nebraska,56205
Washington County, Nebraska,71505
Wayne County, Nebraska,58894
Webster County, Nebraska,51684
Wheeler County, Nebraska,48438
York County, Nebraska,63105
Churchill County, Nevada,56335
Clark County, Nevada,61048
Douglas County, Nevada,71415
Elko County, Nevada,79375
Esmeralda County, Nevada,31845
Eureka County, Nevada,67478
Humboldt County, Nevada,66123
Lander County, Nevada,73797
Lincoln County, Nevada,56537
Lyon County, Nevada,58814
Mineral County, Nevada,31500
Nye County, Nevada,47308
Pershing County, Nevada,57074
Storey County, Nevada,64000
Washoe County, Nevada,68272
White Pine County, Nevada,57353
Carson City, Nevada,58305
Belknap County, New Hampshire,67328
Carroll County, New Hampshire,66932
Cheshire County, New Hampshire,64686
Coos County, New Hampshire,48945
Grafton County, New Hampshire,67476
Hillsborough County, New Hampshire,82099
Merrimack County, New Hampshire,77937
Rockingham County, New Hampshire,93962
Strafford County, New Hampshire,72682
Sullivan County, New Hampshire,63760
Atlantic County, New Jersey,63680
Bergen County, New Jersey,104623
Burlington County, New Jersey,90329
Camden County, New Jersey,70957
Cape May County, New Jersey,72385
Cumberland County, New Jersey,55709
Essex County, New Jersey,63959
Gloucester County, New Jersey,89056
Hudson County, New Jersey,75062
Hunterdon County, New Jersey,117858
Mercer County, New Jersey,83306
Middlesex County, New Jersey,91731
Monmouth County, New Jersey,103523
Morris County, New Jersey,117298
Ocean County, New Jersey,72679
Passaic County, New Jersey,73562
Salem County, New Jersey,64234
Somerset County, New Jersey,116510
Sussex County, New Jersey,96222
Union County, New Jersey,82644
Warren County, New Jersey,83497
Bernalillo County, New Mexico,54308
Catron County, New Mexico,36607
Chaves County, New Mexico,46254
Cibola County, New Mexico,44731
Colfax County, New Mexico,36937
Curry County, New Mexico,48903
De Baca County, New Mexico,31532
Doña Ana County, New Mexico,44024
Eddy County, New Mexico,65000
Grant County, New Mexico,37453
Guadalupe County, New Mexico,31061
Harding County, New Mexico,32500
Hidalgo County, New Mexico,44722
Lea County, New Mexico,61867
Lincoln County, New Mexico,44939
Los Alamos County, New Mexico,119266
Luna County, New Mexico,32251
McKinley County, New Mexico,36179
Mora County, New Mexico,29458
Otero County, New Mexico,45032
Quay County, New Mexico,33962
Rio Arriba County, New Mexico,42264
Roosevelt County, New Mexico,42917
Sandoval County, New Mexico,65071
San Juan County, New Mexico,47643
San Miguel County, New Mexico,32310
Santa Fe County, New Mexico,60668
Sierra County, New Mexico,33873
Socorro County, New Mexico,40297
Taos County, New Mexico,41973
Torrance County, New Mexico,38240
Union County, New Mexico,35484
Valencia County, New Mexico,50801
Albany County, New York,68327
Allegany County, New York,51227
Bronx County, New York,41895
Broome County, New York,52237
Cattaraugus County, New York,50700
Cayuga County, New York,57985
Chautauqua County, New York,48315
Chemung County, New York,54883
Chenango County, New York,51756
Clinton County, New York,59510
Columbia County, New York,68750
Cortland County, New York,59194
Delaware County, New York,49945
Dutchess County, New York,81842
Erie County, New York,59464
Essex County, New York,58109
Franklin County, New York,52905
Fulton County, New York,51663
Genesee County, New York,60635
Greene County, New York,56681
Hamilton County, New York,60625
Herkimer County, New York,58438
Jefferson County, New York,54726
Kings County, New York,63973
Lewis County, New York,56192
Livingston County, New York,60248
Madison County, New York,61176
Monroe County, New York,62087
Montgomery County, New York,50146
Nassau County, New York,120036
New York County, New York,89812
Niagara County, New York,57252
Oneida County, New York,59113
Onondaga County, New York,62668
Ontario County, New York,64795
Orange County, New York,80816
Orleans County, New York,52958
Oswego County, New York,59070
Otsego County, New York,56171
Putnam County, New York,107246
Queens County, New York,72028
Rensselaer County, New York,72510
Richmond County, New York,85381
Rockland County, New York,94840
St. Lawrence County, New York,52071
Saratoga County, New York,85224
Schenectady County, New York,66488
Schoharie County, New York,58926
Schuyler County, New York,53291
Seneca County, New York,54865
Steuben County, New York,55349
Suffolk County, New York,105362
Sullivan County, New York,60433
Tioga County, New York,61965
Tompkins County, New York,61361
Ulster County, New York,65306
Warren County, New York,64658
Washington County, New York,59613
Wayne County, New York,62003
Westchester County, New York,99489
Wyoming County, New York,58746
Yates County, New York,55307
Alamance County, North Carolina,51580
Alexander County, North Carolina,51329
Alleghany County, North Carolina,37158
Anson County, North Carolina,39799
Ashe County, North Carolina,43030
Avery County, North Carolina,42695
Beaufort County, North Carolina,48051
Bertie County, North Carolina,35042
Bladen County, North Carolina,37188
Brunswick County, North Carolina,59763
Buncombe County, North Carolina,55032
Burke County, North Carolina,43915
Cabarrus County, North Carolina,71177
Caldwell County, North Carolina,46094
Camden County, North Carolina,63834
Carteret County, North Carolina,57871
Caswell County, North Carolina,47938
Catawba County, North Carolina,54690
Chatham County, North Carolina,69799
Cherokee County, North Carolina,40793
Chowan County, North Carolina,44050
Clay County, North Carolina,42160
Cleveland County, North Carolina,43512
Columbus County, North Carolina,38487
Craven County, North Carolina,53894
Cumberland County, North Carolina,48177
Currituck County, North Carolina,73741
Dare County, North Carolina,65420
Davidson County, North Carolina,50454
Davie County, North Carolina,62028
Duplin County, North Carolina,43422
Durham County, North Carolina,62812
Edgecombe County, North Carolina,40489
Forsyth County, North Carolina,53583
Franklin County, North Carolina,58172
Gaston County, North Carolina,53474
Gates County, North Carolina,45871
Graham County, North Carolina,42207
Granville County, North Carolina,56924
Greene County, North Carolina,43563
Guilford County, North Carolina,54794
Halifax County, North Carolina,35904
Harnett County, North Carolina,54565
Haywood County, North Carolina,51548
Henderson County, North Carolina,58928
Hertford County, North Carolina,42588
Hoke County, North Carolina,51140
Hyde County, North Carolina,46667
Iredell County, North Carolina,62551
Jackson County, North Carolina,46820
Johnston County, North Carolina,61806
Jones County, North Carolina,38324
Lee County, North Carolina,52294
Lenoir County, North Carolina,39923
Lincoln County, North Carolina,59592
McDowell County, North Carolina,47085
Macon County, North Carolina,45703
Madison County, North Carolina,46190
Martin County, North Carolina,39909
Mecklenburg County, North Carolina,69240
Mitchell County, North Carolina,48841
Montgomery County, North Carolina,45147
Moore County, North Carolina,63324
Nash County, North Carolina,49949
New Hanover County, North Carolina,56689
Northampton County, North Carolina,38969
Onslow County, North Carolina,51560
Orange County, North Carolina,74803
Pamlico County, North Carolina,48531
Pasquotank County, North Carolina,54439
Pender County, North Carolina,60044
Perquimans County, North Carolina,51036
Person County, North Carolina,57323
Pitt County, North Carolina,49337
Polk County, North Carolina,52125
Randolph County, North Carolina,48984
Richmond County, North Carolina,39051
Robeson County, North Carolina,35362
Rockingham County, North Carolina,45697
Rowan County, North Carolina,51054
Rutherford County, North Carolina,43183
Sampson County, North Carolina,42914
Scotland County, North Carolina,35936
Stanly County, North Carolina,54104
Stokes County, North Carolina,51668
Surry County, North Carolina,44979
Swain County, North Carolina,45554
Transylvania County, North Carolina,51509
Tyrrell County, North Carolina,38250
Union County, North Carolina,82557
Vance County, North Carolina,41827
Wake County, North Carolina,83567
Warren County, North Carolina,37476
Washington County, North Carolina,30941
Watauga County, North Carolina,46453
Wayne County, North Carolina,47221
Wilkes County, North Carolina,44980
Wilson County, North Carolina,44594
Yadkin County, North Carolina,46954
Yancey County, North Carolina,44554
Adams County, North Dakota,48750
Barnes County, North Dakota,60472
Benson County, North Dakota,50329
Billings County, North Dakota,64896
Bottineau County, North Dakota,65074
Bowman County, North Dakota,70521
Burke County, North Dakota,79405
Burleigh County, North Dakota,72974
Cass County, North Dakota,65976
Cavalier County, North Dakota,54955
Dickey County, North Dakota,64521
Divide County, North Dakota,64650
Dunn County, North Dakota,82750
Eddy County, North Dakota,52895
Emmons County, North Dakota,51012
Foster County, North Dakota,61250
Golden Valley County, North Dakota,72308
Grand Forks County, North Dakota,53721
Grant County, North Dakota,53750
Griggs County, North Dakota,53917
Hettinger County, North Dakota,59750
Kidder County, North Dakota,52063
LaMoure County, North Dakota,61477
Logan County, North Dakota,60592
McHenry County, North Dakota,67039
McIntosh County, North Dakota,51136
McKenzie County, North Dakota,75238
McLean County, North Dakota,70261
Mercer County, North Dakota,82087
Morton County, North Dakota,72778
Mountrail County, North Dakota,70412
Nelson County, North Dakota,53063
Oliver County, North Dakota,66641
Pembina County, North Dakota,60910
Pierce County, North Dakota,57398
Ramsey County, North Dakota,52688
Ransom County, North Dakota,62235
Renville County, North Dakota,69848
Richland County, North Dakota,60833
Rolette County, North Dakota,46481
Sargent County, North Dakota,64564
Sheridan County, North Dakota,54250
Sioux County, North Dakota,41893
Slope County, North Dakota,65833
Stark County, North Dakota,69412
Steele County, North Dakota,77167
Stutsman County, North Dakota,52815
Towner County, North Dakota,49464
Traill County, North Dakota,67604
Walsh County, North Dakota,55428
Ward County, North Dakota,68098
Wells County, North Dakota,56519
Williams County, North Dakota,79508
Adams County, Ohio,40067
Allen County, Ohio,51892
Ashland County, Ohio,55422
Ashtabula County, Ohio,47925
Athens County, Ohio,42414
Auglaize County, Ohio,66193
Belmont County, Ohio,51574
Brown County, Ohio,57200
Butler County, Ohio,69023
Carroll County, Ohio,52574
Champaign County, Ohio,59909
Clark County, Ohio,51504
Clermont County, Ohio,69720
Clinton County, Ohio,54683
Columbiana County, Ohio,49407
Coshocton County, Ohio,48552
Crawford County, Ohio,46391
Cuyahoga County, Ohio,51741
Darke County, Ohio,54799
Defiance County, Ohio,62110
Delaware County, Ohio,111411
Erie County, Ohio,58408
Fairfield County, Ohio,70906
Fayette County, Ohio,48637
Franklin County, Ohio,62352
Fulton County, Ohio,61290
Gallia County, Ohio,48975
Geauga County, Ohio,83730
Greene County, Ohio,70055
Guernsey County, Ohio,46352
Hamilton County, Ohio,59190
Hancock County, Ohio,57384
Hardin County, Ohio,50214
Harrison County, Ohio,49454
Henry County, Ohio,60425
Highland County, Ohio,47973
Hocking County, Ohio,54774
Holmes County, Ohio,64453
Huron County, Ohio,55041
Jackson County, Ohio,48915
Jefferson County, Ohio,46849
Knox County, Ohio,61590
Lake County, Ohio,65814
Lawrence County, Ohio,46584
Licking County, Ohio,67736
Logan County, Ohio,60417
Lorain County, Ohio,58798
Lucas County, Ohio,49946
Madison County, Ohio,68663
Mahoning County, Ohio,47092
Marion County, Ohio,49225
Medina County, Ohio,77784
Meigs County, Ohio,43445
Mercer County, Ohio,65566
Miami County, Ohio,62347
Monroe County, Ohio,46241
